2026-06-15 21:23:02 - INFO - File: case_001.pdf | Teks Asli: 402276 chars | Teks Bersih: 389562 chars | Keutuhan: 96.84% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_002.pdf | Teks Asli: 79454 chars | Teks Bersih: 76790 chars | Keutuhan: 96.65% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_003.pdf | Teks Asli: 377577 chars | Teks Bersih: 367291 chars | Keutuhan: 97.28% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_004.pdf | Teks Asli: 424575 chars | Teks Bersih: 408836 chars | Keutuhan: 96.29% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_005.pdf | Teks Asli: 27286 chars | Teks Bersih: 26238 chars | Keutuhan: 96.16% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_006.pdf | Teks Asli: 202849 chars | Teks Bersih: 195955 chars | Keutuhan: 96.60% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_007.pdf | Teks Asli: 77849 chars | Teks Bersih: 75134 chars | Keutuhan: 96.51% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_008.pdf | Teks Asli: 50307 chars | Teks Bersih: 49033 chars | Keutuhan: 97.47% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_009.pdf | Teks Asli: 252328 chars | Teks Bersih: 242711 chars | Keutuhan: 96.19% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_010.pdf | Teks Asli: 227364 chars | Teks Bersih: 220474 chars | Keutuhan: 96.97% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_011.pdf | Teks Asli: 168410 chars | Teks Bersih: 162326 chars | Keutuhan: 96.39% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_012.pdf | Teks Asli: 101635 chars | Teks Bersih: 97546 chars | Keutuhan: 95.98% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_013.pdf | Teks Asli: 134000 chars | Teks Bersih: 129314 chars | Keutuhan: 96.50% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_014.pdf | Teks Asli: 272396 chars | Teks Bersih: 262532 chars | Keutuhan: 96.38% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_015.pdf | Teks Asli: 178804 chars | Teks Bersih: 173369 chars | Keutuhan: 96.96% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_016.pdf | Teks Asli: 205342 chars | Teks Bersih: 200631 chars | Keutuhan: 97.71% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_017.pdf | Teks Asli: 191528 chars | Teks Bersih: 186836 chars | Keutuhan: 97.55% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_018.pdf | Teks Asli: 27319 chars | Teks Bersih: 26238 chars | Keutuhan: 96.04% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_019.pdf | Teks Asli: 15781 chars | Teks Bersih: 15275 chars | Keutuhan: 96.79% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_020.pdf | Teks Asli: 38421 chars | Teks Bersih: 37936 chars | Keutuhan: 98.74% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_021.pdf | Teks Asli: 27545 chars | Teks Bersih: 26091 chars | Keutuhan: 94.72% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_022.pdf | Teks Asli: 43292 chars | Teks Bersih: 41505 chars | Keutuhan: 95.87% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_023.pdf | Teks Asli: 121453 chars | Teks Bersih: 118995 chars | Keutuhan: 97.98% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_024.pdf | Teks Asli: 115820 chars | Teks Bersih: 113070 chars | Keutuhan: 97.63% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_025.pdf | Teks Asli: 27760 chars | Teks Bersih: 26838 chars | Keutuhan: 96.68% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_026.pdf | Teks Asli: 44053 chars | Teks Bersih: 43003 chars | Keutuhan: 97.62% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_027.pdf | Teks Asli: 107381 chars | Teks Bersih: 104876 chars | Keutuhan: 97.67% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_028.pdf | Teks Asli: 50068 chars | Teks Bersih: 49035 chars | Keutuhan: 97.94% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_029.pdf | Teks Asli: 133313 chars | Teks Bersih: 131503 chars | Keutuhan: 98.64% | Status: VALID
2026-06-15 21:23:02 - INFO - File: case_030.pdf | Teks Asli: 66013 chars | Teks Bersih: 64414 chars | Keutuhan: 97.58% | Status: VALID
2026-06-15 21:38:31 - File: case_001.txt | Raw: 402276 chars | Clean: 392278 chars | Keutuhan: 97.51% | Status: VALID
2026-06-15 21:38:31 - File: case_002.txt | Raw: 79454 chars | Clean: 77324 chars | Keutuhan: 97.32% | Status: VALID
2026-06-15 21:38:31 - File: case_003.txt | Raw: 377577 chars | Clean: 369785 chars | Keutuhan: 97.94% | Status: VALID
2026-06-15 21:38:31 - File: case_004.txt | Raw: 424575 chars | Clean: 411296 chars | Keutuhan: 96.87% | Status: VALID
2026-06-15 21:38:31 - File: case_005.txt | Raw: 27286 chars | Clean: 26390 chars | Keutuhan: 96.72% | Status: VALID
2026-06-15 21:38:31 - File: case_006.txt | Raw: 202849 chars | Clean: 198234 chars | Keutuhan: 97.72% | Status: VALID
2026-06-15 21:38:31 - File: case_007.txt | Raw: 77849 chars | Clean: 75719 chars | Keutuhan: 97.26% | Status: VALID
2026-06-15 21:38:31 - File: case_008.txt | Raw: 50307 chars | Clean: 49637 chars | Keutuhan: 98.67% | Status: VALID
2026-06-15 21:38:31 - File: case_009.txt | Raw: 252328 chars | Clean: 244548 chars | Keutuhan: 96.92% | Status: VALID
2026-06-15 21:38:31 - File: case_010.txt | Raw: 227364 chars | Clean: 222852 chars | Keutuhan: 98.02% | Status: VALID
2026-06-15 21:38:31 - File: case_011.txt | Raw: 168410 chars | Clean: 163712 chars | Keutuhan: 97.21% | Status: VALID
2026-06-15 21:38:31 - File: case_012.txt | Raw: 101635 chars | Clean: 98401 chars | Keutuhan: 96.82% | Status: VALID
2026-06-15 21:38:31 - File: case_013.txt | Raw: 134000 chars | Clean: 130337 chars | Keutuhan: 97.27% | Status: VALID
2026-06-15 21:38:31 - File: case_014.txt | Raw: 272396 chars | Clean: 264643 chars | Keutuhan: 97.15% | Status: VALID
2026-06-15 21:38:31 - File: case_015.txt | Raw: 178804 chars | Clean: 174582 chars | Keutuhan: 97.64% | Status: VALID
2026-06-15 21:38:31 - File: case_016.txt | Raw: 205342 chars | Clean: 201922 chars | Keutuhan: 98.33% | Status: VALID
2026-06-15 21:38:31 - File: case_017.txt | Raw: 191528 chars | Clean: 188926 chars | Keutuhan: 98.64% | Status: VALID
2026-06-15 21:38:31 - File: case_018.txt | Raw: 27319 chars | Clean: 26390 chars | Keutuhan: 96.60% | Status: VALID
2026-06-15 21:38:31 - File: case_019.txt | Raw: 15781 chars | Clean: 15363 chars | Keutuhan: 97.35% | Status: VALID
2026-06-15 21:38:31 - File: case_020.txt | Raw: 38421 chars | Clean: 38304 chars | Keutuhan: 99.70% | Status: VALID
2026-06-15 21:38:31 - File: case_021.txt | Raw: 27545 chars | Clean: 26381 chars | Keutuhan: 95.77% | Status: VALID
2026-06-15 21:38:31 - File: case_022.txt | Raw: 43292 chars | Clean: 41807 chars | Keutuhan: 96.57% | Status: VALID
2026-06-15 21:38:31 - File: case_023.txt | Raw: 121453 chars | Clean: 119944 chars | Keutuhan: 98.76% | Status: VALID
2026-06-15 21:38:31 - File: case_024.txt | Raw: 115820 chars | Clean: 114100 chars | Keutuhan: 98.51% | Status: VALID
2026-06-15 21:38:31 - File: case_025.txt | Raw: 27760 chars | Clean: 27007 chars | Keutuhan: 97.29% | Status: VALID
2026-06-15 21:38:31 - File: case_026.txt | Raw: 44053 chars | Clean: 43358 chars | Keutuhan: 98.42% | Status: VALID
2026-06-15 21:38:31 - File: case_027.txt | Raw: 107381 chars | Clean: 105602 chars | Keutuhan: 98.34% | Status: VALID
2026-06-15 21:38:31 - File: case_028.txt | Raw: 50068 chars | Clean: 49325 chars | Keutuhan: 98.52% | Status: VALID
2026-06-15 21:38:31 - File: case_029.txt | Raw: 133313 chars | Clean: 133016 chars | Keutuhan: 99.78% | Status: VALID
2026-06-15 21:38:31 - File: case_030.txt | Raw: 66013 chars | Clean: 64875 chars | Keutuhan: 98.28% | Status: VALID
